Client_ID,Categoria,Subcategoria,Produto,Year,Month,Cidade,Valor,Volume
Client #201,X,Sub-Categoria 1,PDT100,2020,1,Cidade57,28800.32,372 
Client #475,X,Sub-Categoria 1,PDT100,2020,1,Cidade7,15484.05,200 
Client #413,X,Sub-Categoria 1,PDT100,2020,11,Cidade81,6076.073073,100 
Client #3265,X,Sub-Categoria 1,PDT100,2020,12,Cidade81,20385.53945,300 
Client #1476,X,Sub-Categoria 1,PDT100,2020,12,Cidade81,28788.73965,444 
Client #3710,X,Sub-Categoria 1,PDT104,2020,1,Cidade7,12903.2,200 
Client #1269,X,Sub-Categoria 1,PDT104,2020,1,Cidade2,9071.82,110 
Client #1269,X,Sub-Categoria 1,PDT104,2020,1,Cidade2,32162.79,390 
Client #1824,X,Sub-Categoria 1,PDT104,2020,1,Cidade86,58529.5,720 
Client #1269,X,Sub-Categoria 1,PDT104,2020,2,Cidade2,131253.45,1500 
Client #734,X,Sub-Categoria 1,PDT104,2020,2,Cidade23,4997.23,50 
Client #12,X,Sub-Categoria 1,PDT104,2020,3,Cidade17,23404.22,350 
Client #2634,X,Sub-Categoria 1,PDT104,2020,11,Cidade81,4193.128068,90 
Client #3617,X,Sub-Categoria 1,PDT104,2020,12,Cidade58,5849.477838,100 
Client #39,X,Sub-Categoria 1,PDT104,2020,12,Cidade56,9884.01366,218 
Client #39,X,Sub-Categoria 1,PDT104,2021,1,Cidade56,5061.94452,100 
Client #734,X,Sub-Categoria 1,PDT105,2020,1,Cidade23,6580.8,100 
Client #475,X,Sub-Categoria 1,PDT105,2020,1,Cidade7,4645.4,100 
Client #201,X,Sub-Categoria 1,PDT105,2020,2,Cidade57,5667.99,115 
Client #2634,X,Sub-Categoria 1,PDT105,2020,11,Cidade81,411.1050084,9 
Client #39,X,Sub-Categoria 1,PDT105,2020,12,Cidade56,3699.221268,80 
Client #717,X,Sub-Categoria 1,PDT105,2020,12,Cidade108,734.0101938,16 
Client #698,X,Sub-Categoria 1,PDT105,2021,1,Cidade30,6021.332,128 
Client #1341,X,Sub-Categoria 1,PDT105,2021,1,Cidade81,14251.80495,290 
Client #5,X,Sub-Categoria 1,PDT105,2021,11,Cidade2,18293.92363,578 
Client #5,X,Sub-Categoria 1,PDT105,2021,11,Cidade2,7026.47833,222 
Client #315,X,Sub-Categoria 1,PDT105,2021,12,Cidade28,3121.626742,108 
Client #74,X,Sub-Categoria 1,PDT105,2021,12,Cidade2,3568.901981,130 
Client #3760,X,Sub-Categoria 1,PDT106,2020,1,Cidade36,5253.03,69 
Client #3760,X,Sub-Categoria 1,PDT106,2020,1,Cidade17,8755.05,115 
Client #1269,X,Sub-Categoria 1,PDT106,2020,1,Cidade2,20617.17,250 
Client #1269,X,Sub-Categoria 1,PDT106,2020,2,Cidade2,21875.58,250 
Client #3760,X,Sub-Categoria 1,PDT107,2020,12,Cidade36,5110.453318,60 
Client #3760,X,Sub-Categoria 99,PDT107,2020,12,Cidade36,4865.152466,60 
Client #2404,X,Sub-Categoria 1,PDT107,2021,12,Cidade2,3270.773746,60 
Client #2854,X,Sub-Categoria 1,PDT108,2020,11,Cidade81,4974.09852,50 
Client #832,X,Sub-Categoria 1,PDT108,2020,12,Cidade98,33735.98754,385 
Client #835,X,Sub-Categoria 1,PDT108,2020,12,Cidade29,22825.64153,220 
Client #832,X,Sub-Categoria 1,PDT108,2021,1,Cidade98,37665.00742,385 
Client #595,X,Sub-Categoria 1,PDT110,2020,11,Cidade93,17794.10935,200 
Client #835,X,Sub-Categoria 1,PDT110,2020,12,Cidade29,18762.18831,220 
Client #8,X,Sub-Categoria 1,PDT110,2021,11,Cidade93,13381.21493,270 
Client #595,X,Sub-Categoria 1,PDT110,2021,12,Cidade93,32605.20615,469 
